what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1238675055190
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1238675055559
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1238675055567
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675055606
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675060614
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675060844
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675061544
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1238675061898
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1238675063216
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675065261
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675082433
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1238675083301
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1238675083560
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675083867
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675101361
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675103500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675112877
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238675113314
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675132986
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675133829
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675134452
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675138305
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675139251
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675141274
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675148942
