what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676146157
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1238676152802
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676153044
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676153112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676156228
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676156285
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238676160076
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1238676160727
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676160950
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676163456
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676163531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238676166327
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238676167044
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676168614
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238676178213
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676205542
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676205642
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238676240091
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676247072
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676256983
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676258932
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676261485
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676278561
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238676334294
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238676350379
