what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122910201
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238122910208
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122912796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122916757
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122920027
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122920903
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238122920911
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122925747
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122928983
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238122928996
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122932138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122940685
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122940788
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122940845
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238122947482
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1238122948162
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122948937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122950731
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122951138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122958738
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122961954
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122962991
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1238122965970
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1238122965996
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1238122966002
