what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675750892
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675754876
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675766716
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675768733
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675769288
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675769456
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675774555
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1238675802883
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1238675808636
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675811560
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675820441
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675821467
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675821864
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675822035
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675823666
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675825317
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675903913
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1238675906086
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238675906431
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675908565
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675909042
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675909224
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675910446
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675911951
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238675913795
